sample_id,Parameter A (mg/L),Paremerer B (ug/L),Parameter C (mmol)
ABC_001,0.492471908,29.06788484,117.0033149
ABC_002,0.49617623,27.87334752,93.7441944
ABC_003,0.471248994,30.77838496,107.4167386
ABC_004,0.468069335,37.29637465,134.7829579
ABC_005,0.490894683,33.68448146,67.08729962
ABC_006,0.496284968,29.60419,140.9759893
ABC_007,0.50953895,27.46257544,119.7524085
ABC_008,0.498264626,35.28961214,128.1901752
ABC_009,0.486233433,40.71332103,92.98289505
ABC_010,0.478985784,35.59576842,93.10942931
ABC_011,0.509169786,34.24793933,96.73397175
ABC_012,0.529159228,31.14701409,98.45781012
ABC_013,0.502952653,36.00565012,129.542209
ABC_014,0.511610886,38.67525073,127.1979647
ABC_015,0.50600858,29.93227389,134.4201111
ABC_016,0.472020613,30.06633423,148.8356653
ABC_017,0.497523196,42.94234886,107.8443864
ABC_018,0.487458854,39.08882434,159.8220517
ABC_019,0.495771428,33.03886259,149.2810501
ABC_020,0.515984625,36.75318227,135.7984615
